"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
289 6.374 "A2" "Early" "1" "C10"
290 15.084 "A2" "Early" "2" "C10"
291 -1.435 "A2" "Early" "3" "C10"
292 29.424 "A2" "Early" "4" "C10"
293 41.588 "A2" "Late" "5" "C10"
294 35.658 "A2" "Late" "6" "C10"
295 36.734 "A2" "Late" "7" "C10"
296 33.116 "A2" "Late" "8" "C10"
297 3.528 "A2" "Washout" "9" "C10"
298 -0.314 "A2" "Washout" "10" "C10"
299 -0.819 "A2" "Washout" "11" "C10"
300 6.191 "A2" "Washout" "12" "C10"
301 26.720 "A2" "Early" "1" "C11"
302 43.158 "A2" "Early" "2" "C11"
303 44.792 "A2" "Early" "3" "C11"
304 46.911 "A2" "Early" "4" "C11"
305 51.661 "A2" "Late" "5" "C11"
306 47.970 "A2" "Late" "6" "C11"
307 47.953 "A2" "Late" "7" "C11"
308 50.707 "A2" "Late" "8" "C11"
309 1.939 "A2" "Washout" "9" "C11"
310 1.593 "A2" "Washout" "10" "C11"
311 3.905 "A2" "Washout" "11" "C11"
312 3.938 "A2" "Washout" "12" "C11"
313 16.850 "A2" "Early" "1" "C12"
314 46.418 "A2" "Early" "2" "C12"
315 45.310 "A2" "Early" "3" "C12"
316 44.692 "A2" "Early" "4" "C12"
317 40.795 "A2" "Late" "5" "C12"
318 43.530 "A2" "Late" "6" "C12"
319 49.232 "A2" "Late" "7" "C12"
320 45.517 "A2" "Late" "8" "C12"
321 1.432 "A2" "Washout" "9" "C12"
322 -0.150 "A2" "Washout" "10" "C12"
323 -0.325 "A2" "Washout" "11" "C12"
324 1.579 "A2" "Washout" "12" "C12"
325 -1.327 "A2" "Early" "1" "C13"
326 44.623 "A2" "Early" "2" "C13"
327 43.612 "A2" "Early" "3" "C13"
328 46.196 "A2" "Early" "4" "C13"
329 47.872 "A2" "Late" "5" "C13"
330 46.940 "A2" "Late" "6" "C13"
331 45.788 "A2" "Late" "7" "C13"
332 46.988 "A2" "Late" "8" "C13"
333 -0.872 "A2" "Washout" "9" "C13"
334 -1.003 "A2" "Washout" "10" "C13"
335 1.903 "A2" "Washout" "11" "C13"
336 0.678 "A2" "Washout" "12" "C13"
337 1.027 "A2" "Early" "1" "C14"
338 50.106 "A2" "Early" "2" "C14"
339 46.800 "A2" "Early" "3" "C14"
340 49.111 "A2" "Early" "4" "C14"
341 48.217 "A2" "Late" "5" "C14"
342 49.138 "A2" "Late" "6" "C14"
343 51.239 "A2" "Late" "7" "C14"
344 50.320 "A2" "Late" "8" "C14"
345 1.646 "A2" "Washout" "9" "C14"
346 -1.412 "A2" "Washout" "10" "C14"
347 2.186 "A2" "Washout" "11" "C14"
348 -0.351 "A2" "Washout" "12" "C14"
349 -1.122 "A2" "Early" "1" "C15"
350 35.484 "A2" "Early" "2" "C15"
351 40.923 "A2" "Early" "3" "C15"
352 53.057 "A2" "Early" "4" "C15"
353 46.142 "A2" "Late" "5" "C15"
354 51.233 "A2" "Late" "6" "C15"
355 46.106 "A2" "Late" "7" "C15"
356 52.328 "A2" "Late" "8" "C15"
357 2.722 "A2" "Washout" "9" "C15"
358 3.636 "A2" "Washout" "10" "C15"
359 5.252 "A2" "Washout" "11" "C15"
360 3.428 "A2" "Washout" "12" "C15"
361 15.941 "A3" "Early" "1" "C1"
362 32.159 "A3" "Early" "2" "C1"
363 25.086 "A3" "Early" "3" "C1"
364 31.193 "A3" "Early" "4" "C1"
365 39.607 "A3" "Late" "5" "C1"
366 41.472 "A3" "Late" "6" "C1"
367 31.607 "A3" "Late" "7" "C1"
368 44.925 "A3" "Late" "8" "C1"
369 6.024 "A3" "Washout" "9" "C1"
370 6.227 "A3" "Washout" "10" "C1"
371 4.253 "A3" "Washout" "11" "C1"
372 0.824 "A3" "Washout" "12" "C1"
373 17.469 "A3" "Early" "1" "C2"
374 32.376 "A3" "Early" "2" "C2"
375 50.497 "A3" "Early" "3" "C2"
376 50.786 "A3" "Early" "4" "C2"
377 29.342 "A3" "Late" "5" "C2"
378 41.167 "A3" "Late" "6" "C2"
379 46.991 "A3" "Late" "7" "C2"
380 48.281 "A3" "Late" "8" "C2"
381 6.904 "A3" "Washout" "9" "C2"
382 0.791 "A3" "Washout" "10" "C2"
383 4.729 "A3" "Washout" "11" "C2"
384 5.133 "A3" "Washout" "12" "C2"
385 32.269 "A3" "Early" "1" "C3"
386 40.519 "A3" "Early" "2" "C3"
387 32.446 "A3" "Early" "3" "C3"
388 46.508 "A3" "Early" "4" "C3"
389 42.566 "A3" "Late" "5" "C3"
390 -7.718 "A3" "Late" "6" "C3"
391 38.233 "A3" "Late" "7" "C3"
392 43.992 "A3" "Late" "8" "C3"
393 7.338 "A3" "Washout" "9" "C3"
394 8.754 "A3" "Washout" "10" "C3"
395 2.702 "A3" "Washout" "11" "C3"
396 -1.015 "A3" "Washout" "12" "C3"
397 34.789 "A3" "Early" "1" "C4"
398 46.888 "A3" "Early" "2" "C4"
399 46.763 "A3" "Early" "3" "C4"
400 53.620 "A3" "Early" "4" "C4"
401 50.207 "A3" "Late" "5" "C4"
402 53.302 "A3" "Late" "6" "C4"
403 45.881 "A3" "Late" "7" "C4"
404 53.991 "A3" "Late" "8" "C4"
405 1.842 "A3" "Washout" "9" "C4"
406 2.995 "A3" "Washout" "10" "C4"
407 0.573 "A3" "Washout" "11" "C4"
408 2.934 "A3" "Washout" "12" "C4"
409 31.924 "A3" "Early" "1" "C5"
410 32.957 "A3" "Early" "2" "C5"
411 55.307 "A3" "Early" "3" "C5"
412 49.529 "A3" "Early" "4" "C5"
413 55.703 "A3" "Late" "5" "C5"
414 55.632 "A3" "Late" "6" "C5"
415 40.346 "A3" "Late" "7" "C5"
416 33.494 "A3" "Late" "8" "C5"
417 3.768 "A3" "Washout" "9" "C5"
418 -0.908 "A3" "Washout" "10" "C5"
419 1.286 "A3" "Washout" "11" "C5"
420 0.694 "A3" "Washout" "12" "C5"
421 14.970 "A3" "Early" "1" "C6"
422 20.007 "A3" "Early" "2" "C6"
423 17.735 "A3" "Early" "3" "C6"
424 28.091 "A3" "Early" "4" "C6"
425 36.864 "A3" "Late" "5" "C6"
426 13.193 "A3" "Late" "6" "C6"
427 27.034 "A3" "Late" "7" "C6"
428 33.985 "A3" "Late" "8" "C6"
429 0.545 "A3" "Washout" "9" "C6"
430 1.191 "A3" "Washout" "10" "C6"
431 2.032 "A3" "Washout" "11" "C6"
432 0.021 "A3" "Washout" "12" "C6"
433 21.747 "A3" "Early" "1" "C7"
434 35.043 "A3" "Early" "2" "C7"
435 32.614 "A3" "Early" "3" "C7"
436 28.881 "A3" "Early" "4" "C7"
437 38.387 "A3" "Late" "5" "C7"
438 40.098 "A3" "Late" "6" "C7"
439 40.514 "A3" "Late" "7" "C7"
440 36.237 "A3" "Late" "8" "C7"
441 6.149 "A3" "Washout" "9" "C7"
442 4.548 "A3" "Washout" "10" "C7"
443 5.825 "A3" "Washout" "11" "C7"
444 2.179 "A3" "Washout" "12" "C7"
445 16.544 "A3" "Early" "1" "C8"
446 46.391 "A3" "Early" "2" "C8"
447 35.850 "A3" "Early" "3" "C8"
448 37.541 "A3" "Early" "4" "C8"
449 35.085 "A3" "Late" "5" "C8"
450 50.459 "A3" "Late" "6" "C8"
451 38.120 "A3" "Late" "7" "C8"
452 37.789 "A3" "Late" "8" "C8"
453 2.789 "A3" "Washout" "9" "C8"
454 3.591 "A3" "Washout" "10" "C8"
455 3.941 "A3" "Washout" "11" "C8"
456 1.550 "A3" "Washout" "12" "C8"
457 31.400 "A3" "Early" "1" "C9"
458 46.745 "A3" "Early" "2" "C9"
459 49.529 "A3" "Early" "3" "C9"
460 50.778 "A3" "Early" "4" "C9"
461 62.149 "A3" "Late" "5" "C9"
462 65.269 "A3" "Late" "6" "C9"
463 63.301 "A3" "Late" "7" "C9"
464 59.777 "A3" "Late" "8" "C9"
465 5.326 "A3" "Washout" "9" "C9"
466 3.011 "A3" "Washout" "10" "C9"
467 1.550 "A3" "Washout" "11" "C9"
468 8.241 "A3" "Washout" "12" "C9"
469 34.160 "A3" "Early" "1" "C10"
470 40.643 "A3" "Early" "2" "C10"
471 43.693 "A3" "Early" "3" "C10"
472 40.981 "A3" "Early" "4" "C10"
473 45.005 "A3" "Late" "5" "C10"
474 43.757 "A3" "Late" "6" "C10"
475 30.533 "A3" "Late" "7" "C10"
476 47.324 "A3" "Late" "8" "C10"
477 0.520 "A3" "Washout" "9" "C10"
478 3.085 "A3" "Washout" "10" "C10"
479 -1.373 "A3" "Washout" "11" "C10"
480 0.077 "A3" "Washout" "12" "C10"
481 32.696 "A3" "Early" "1" "C11"
482 47.663 "A3" "Early" "2" "C11"
483 35.873 "A3" "Early" "3" "C11"
484 40.263 "A3" "Early" "4" "C11"
485 20.922 "A3" "Late" "5" "C11"
486 26.035 "A3" "Late" "6" "C11"
487 47.267 "A3" "Late" "7" "C11"
488 36.031 "A3" "Late" "8" "C11"
489 1.140 "A3" "Washout" "9" "C11"
490 1.594 "A3" "Washout" "10" "C11"
491 1.078 "A3" "Washout" "11" "C11"
492 -2.545 "A3" "Washout" "12" "C11"
493 36.624 "A3" "Early" "1" "C12"
494 44.817 "A3" "Early" "2" "C12"
495 48.146 "A3" "Early" "3" "C12"
496 48.111 "A3" "Early" "4" "C12"
497 53.453 "A3" "Late" "5" "C12"
498 45.611 "A3" "Late" "6" "C12"
499 46.017 "A3" "Late" "7" "C12"
500 40.935 "A3" "Late" "8" "C12"
501 0.039 "A3" "Washout" "9" "C12"
502 1.293 "A3" "Washout" "10" "C12"
503 1.332 "A3" "Washout" "11" "C12"
504 1.095 "A3" "Washout" "12" "C12"
505 33.948 "A3" "Early" "1" "C13"
506 47.637 "A3" "Early" "2" "C13"
507 43.215 "A3" "Early" "3" "C13"
508 46.474 "A3" "Early" "4" "C13"
509 54.656 "A3" "Late" "5" "C13"
510 51.927 "A3" "Late" "6" "C13"
511 51.222 "A3" "Late" "7" "C13"
512 55.439 "A3" "Late" "8" "C13"
513 3.437 "A3" "Washout" "9" "C13"
514 4.667 "A3" "Washout" "10" "C13"
515 1.258 "A3" "Washout" "11" "C13"
516 -1.078 "A3" "Washout" "12" "C13"
517 30.692 "A3" "Early" "1" "C14"
518 41.014 "A3" "Early" "2" "C14"
519 46.899 "A3" "Early" "3" "C14"
520 42.303 "A3" "Early" "4" "C14"
521 39.515 "A3" "Late" "5" "C14"
522 45.333 "A3" "Late" "6" "C14"
523 45.990 "A3" "Late" "7" "C14"
524 50.241 "A3" "Late" "8" "C14"
525 -1.476 "A3" "Washout" "9" "C14"
526 0.668 "A3" "Washout" "10" "C14"
527 1.029 "A3" "Washout" "11" "C14"
528 2.159 "A3" "Washout" "12" "C14"
529 27.303 "A3" "Early" "1" "C15"
530 44.582 "A3" "Early" "2" "C15"
531 51.778 "A3" "Early" "3" "C15"
532 55.949 "A3" "Early" "4" "C15"
533 46.547 "A3" "Late" "5" "C15"
534 62.420 "A3" "Late" "6" "C15"
535 48.684 "A3" "Late" "7" "C15"
536 48.671 "A3" "Late" "8" "C15"
537 2.927 "A3" "Washout" "9" "C15"
538 2.261 "A3" "Washout" "10" "C15"
539 0.710 "A3" "Washout" "11" "C15"
540 0.990 "A3" "Washout" "12" "C15"
