"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
311 3.841 "A2" "Washout" "11" "C10"
312 3.775 "A2" "Washout" "12" "C10"
313 -0.439 "A2" "Early" "1" "C11"
314 7.792 "A2" "Early" "2" "C11"
315 0.965 "A2" "Early" "3" "C11"
316 21.864 "A2" "Early" "4" "C11"
317 53.114 "A2" "Late" "5" "C11"
318 44.766 "A2" "Late" "6" "C11"
319 44.422 "A2" "Late" "7" "C11"
320 51.281 "A2" "Late" "8" "C11"
321 5.437 "A2" "Washout" "9" "C11"
322 4.009 "A2" "Washout" "10" "C11"
323 6.772 "A2" "Washout" "11" "C11"
324 3.863 "A2" "Washout" "12" "C11"
325 10.929 "A2" "Early" "1" "C12"
326 12.414 "A2" "Early" "2" "C12"
327 25.639 "A2" "Early" "3" "C12"
328 17.077 "A2" "Early" "4" "C12"
329 2.636 "A2" "Late" "5" "C12"
330 26.866 "A2" "Late" "6" "C12"
331 20.131 "A2" "Late" "7" "C12"
332 46.553 "A2" "Late" "8" "C12"
333 6.556 "A2" "Washout" "9" "C12"
334 3.451 "A2" "Washout" "10" "C12"
335 4.849 "A2" "Washout" "11" "C12"
336 4.657 "A2" "Washout" "12" "C12"
337 20.081 "A2" "Early" "1" "C13"
338 30.321 "A2" "Early" "2" "C13"
339 21.589 "A2" "Early" "3" "C13"
340 25.153 "A2" "Early" "4" "C13"
341 17.730 "A2" "Late" "5" "C13"
342 32.666 "A2" "Late" "6" "C13"
343 29.770 "A2" "Late" "7" "C13"
344 25.539 "A2" "Late" "8" "C13"
345 10.803 "A2" "Washout" "9" "C13"
346 12.298 "A2" "Washout" "10" "C13"
347 8.360 "A2" "Washout" "11" "C13"
348 13.425 "A2" "Washout" "12" "C13"
349 5.022 "A2" "Early" "1" "C14"
350 11.077 "A2" "Early" "2" "C14"
351 12.174 "A2" "Early" "3" "C14"
352 50.475 "A2" "Early" "4" "C14"
353 50.983 "A2" "Late" "5" "C14"
354 51.985 "A2" "Late" "6" "C14"
355 52.230 "A2" "Late" "7" "C14"
356 50.479 "A2" "Late" "8" "C14"
357 3.183 "A2" "Washout" "9" "C14"
358 2.685 "A2" "Washout" "10" "C14"
359 1.286 "A2" "Washout" "11" "C14"
360 4.142 "A2" "Washout" "12" "C14"
361 17.645 "A2" "Early" "1" "C15"
362 -1.601 "A2" "Early" "2" "C15"
363 1.485 "A2" "Early" "3" "C15"
364 0.976 "A2" "Early" "4" "C15"
365 -2.797 "A2" "Late" "5" "C15"
366 26.796 "A2" "Late" "6" "C15"
367 45.645 "A2" "Late" "7" "C15"
368 NA "A2" "Late" "8" "C15"
369 1.254 "A2" "Washout" "9" "C15"
370 3.100 "A2" "Washout" "10" "C15"
371 0.049 "A2" "Washout" "11" "C15"
372 -2.924 "A2" "Washout" "12" "C15"
373 8.167 "A2" "Early" "1" "C16"
374 -2.531 "A2" "Early" "2" "C16"
375 20.137 "A2" "Early" "3" "C16"
376 3.869 "A2" "Early" "4" "C16"
377 32.067 "A2" "Late" "5" "C16"
378 19.468 "A2" "Late" "6" "C16"
379 33.145 "A2" "Late" "7" "C16"
380 8.260 "A2" "Late" "8" "C16"
381 2.167 "A2" "Washout" "9" "C16"
382 3.124 "A2" "Washout" "10" "C16"
383 5.763 "A2" "Washout" "11" "C16"
384 6.131 "A2" "Washout" "12" "C16"
385 42.864 "A3" "Early" "1" "C1"
386 56.868 "A3" "Early" "2" "C1"
387 49.857 "A3" "Early" "3" "C1"
388 51.100 "A3" "Early" "4" "C1"
389 47.716 "A3" "Late" "5" "C1"
390 46.417 "A3" "Late" "6" "C1"
391 36.125 "A3" "Late" "7" "C1"
392 46.761 "A3" "Late" "8" "C1"
393 4.999 "A3" "Washout" "9" "C1"
394 1.561 "A3" "Washout" "10" "C1"
395 1.125 "A3" "Washout" "11" "C1"
396 -1.573 "A3" "Washout" "12" "C1"
397 -4.799 "A3" "Early" "1" "C2"
398 19.982 "A3" "Early" "2" "C2"
399 41.281 "A3" "Early" "3" "C2"
400 13.429 "A3" "Early" "4" "C2"
401 34.903 "A3" "Late" "5" "C2"
402 34.778 "A3" "Late" "6" "C2"
403 19.149 "A3" "Late" "7" "C2"
404 27.274 "A3" "Late" "8" "C2"
405 8.586 "A3" "Washout" "9" "C2"
406 3.344 "A3" "Washout" "10" "C2"
407 15.080 "A3" "Washout" "11" "C2"
408 -1.257 "A3" "Washout" "12" "C2"
409 8.233 "A3" "Early" "1" "C3"
410 -2.886 "A3" "Early" "2" "C3"
411 7.858 "A3" "Early" "3" "C3"
412 11.436 "A3" "Early" "4" "C3"
413 23.102 "A3" "Late" "5" "C3"
414 10.491 "A3" "Late" "6" "C3"
415 27.203 "A3" "Late" "7" "C3"
416 14.422 "A3" "Late" "8" "C3"
417 -0.572 "A3" "Washout" "9" "C3"
418 7.689 "A3" "Washout" "10" "C3"
419 -0.362 "A3" "Washout" "11" "C3"
420 3.559 "A3" "Washout" "12" "C3"
421 5.116 "A3" "Early" "1" "C4"
422 34.416 "A3" "Early" "2" "C4"
423 29.163 "A3" "Early" "3" "C4"
424 8.004 "A3" "Early" "4" "C4"
425 24.465 "A3" "Late" "5" "C4"
